  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    23,     P-678,   2022/11/16 20:12:39,           1-01,      23,       -30.322,       -56.737,      -455.455,         0.049,         20144,       0,    1,                                      SP,                                 Priming,                 H2O, 1668629835.78,         0.228,         0.179,         0.582,         0.161,       113.303,         0.001,         0.009,         1.793,        93.205,        38.220,         0.934,        72.707,         1.032,         2.846,        0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    24,     P-678,   2022/11/16 20:21:37,           1-01,      24,       -30.314,       -56.749,      -455.543,         0.064,         20138,       0,    1,                                      SP,                                 Priming,                 H2O, 1668630372.60,         0.232,         0.168,         0.592,         0.179,       116.001,         0.001,         0.009,         1.836,        93.165,        38.171,         0.932,        72.803,         1.030,         2.893,       -0.0000,        0.0000,    0,        43.750,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    25,     P-678,   2022/11/16 20:30:34,           1-01,      25,       -30.342,       -56.794,      -455.701,         0.061,         20327,       0,    1,                                      SP,                                 Priming,                 H2O, 1668630909.64,         0.243,         0.185,         0.554,         0.174,       115.502,         0.001,         0.008,         1.816,        94.121,        38.628,         0.940,        73.304,         1.031,         2.888,       -0.0000,       -0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    26,     P-679,   2022/11/16 20:39:31,           1-02,       1,       -30.319,       -56.757,      -455.662,         0.064,         20078,      -1,    1,                                      SP,                                    STD1,                 H2O, 1668631446.97,         0.234,         0.162,         0.576,         0.175,       118.420,         0.000,         0.008,         1.858,        92.927,        37.978,         0.927,        72.391,         1.032,         2.802,       -0.0000,        0.0000,    0,        43.875,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    27,     P-679,   2022/11/16 20:48:28,           1-02,       2,       -30.285,       -56.756,      -455.737,         0.098,         20473,      -1,    1,                                      SP,                                    STD1,                 H2O, 1668631984.92,         0.240,         0.186,         0.573,         0.177,       116.758,         0.000,         0.008,         1.851,        94.917,        38.818,         0.944,        73.750,         1.035,         2.799,       -0.0000,       -0.0000,    0,        43.812,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    28,     P-679,   2022/11/16 20:57:25,           1-02,       3,       -30.322,       -56.776,      -455.873,         0.071,         20474,      -1,    1,                                      SP,                                    STD1,                 H2O, 1668632521.36,         0.242,         0.185,         0.550,         0.172,       116.613,         0.001,         0.008,         1.841,        94.909,        39.016,         0.936,        73.236,         1.033,         2.704,       -0.0000,       -0.0000,    0,        43.812,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    29,     P-679,   2022/11/16 21:06:22,           1-02,       4,       -30.328,       -56.775,      -455.886,         0.065,         20442,       0,    1,                                      SP,                                    STD1,                 H2O, 1668633058.05,         0.226,         0.176,         0.562,         0.163,       120.398,         0.001,         0.008,         1.890,        94.707,        38.752,         0.944,        73.962,         1.033,         2.903,       -0.0000,       -0.0000,    0,        43.812,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    30,     P-679,   2022/11/16 21:15:20,           1-02,       5,       -30.316,       -56.768,      -455.943,         0.073,         20431,       0,    1,                                      SP,                                    STD1,                 H2O, 1668633595.56,         0.226,         0.159,         0.510,         0.170,       119.692,         0.000,         0.008,         1.887,        94.765,        38.739,         0.940,        73.289,         1.034,         2.735,        0.0000,       -0.0000,    0,        43.875,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    31,     P-679,   2022/11/16 21:24:17,           1-02,       6,       -30.359,       -56.788,      -455.964,         0.040,         20375,       0,    1,                                      SP,                                    STD1,                 H2O, 1668634132.46,         0.219,         0.160,         0.516,         0.161,       116.226,         0.000,         0.008,         1.834,        94.403,        38.639,         0.941,        73.388,         1.035,         2.847,       -0.0000,        0.0000,    0,        43.875,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    32,     P-679,   2022/11/16 21:33:15,           1-02,       7,       -30.320,       -56.749,      -456.003,         0.058,         20319,       0,    1,                                      SP,                                    STD1,                 H2O, 1668634670.95,         0.217,         0.159,         0.478,         0.165,       117.112,         0.001,         0.007,         1.847,        94.184,        38.521,         0.932,        72.909,         1.033,         2.809,       -0.0000,        0.0000,    0,        43.875,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    33,     P-679,   2022/11/16 21:42:12,           1-02,       8,       -30.340,       -56.778,      -456.047,         0.054,         20360,       0,    1,                                      SP,                                    STD1,                 H2O, 1668635208.57,         0.232,         0.170,         0.531,         0.182,       116.852,         0.001,         0.008,         1.840,        94.358,        38.688,         0.933,        72.943,         1.031,         2.782,       -0.0000,        0.0000,    0,        43.938,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    34,     P-679,   2022/11/16 21:51:10,           1-02,       9,       -30.371,       -56.825,      -456.124,         0.048,         20201,       0,    1,                                      SP,                                    STD1,                 H2O, 1668635745.92,         0.221,         0.151,         0.500,         0.173,       113.944,         0.000,         0.007,         1.805,        93.447,        38.280,         0.938,        73.337,         1.031,         2.979,       -0.0000,        0.0000,    0,        43.938,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    35,     P-679,   2022/11/16 22:00:07,           1-02,      10,       -30.337,       -56.763,      -456.144,         0.048,         20353,       0,    1,                                      SP,                                    STD1,                 H2O, 1668636282.49,         0.207,         0.147,         0.473,         0.157,       114.388,         0.000,         0.007,         1.806,        94.348,        38.668,         0.928,        72.811,         1.031,         2.748,        0.0000,        0.0000,    0,        44.062,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    36,     P-679,   2022/11/16 22:09:04,           1-02,      11,       -30.320,       -56.765,      -456.171,         0.067,         20223,       0,    1,                                      SP,                                    STD1,                 H2O, 1668636820.10,         0.241,         0.164,         0.481,         0.183,       114.811,         0.000,         0.007,         1.805,        93.709,        38.407,         0.926,        72.282,         1.032,         2.702,       -0.0000,        0.0000,    0,        44.062,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    37,     P-679,   2022/11/16 22:18:01,           1-02,      12,       -30.345,       -56.818,      -456.258,         0.071,         20151,       0,    1,                                      SP,                                    STD1,                 H2O, 1668637357.49,         0.250,         0.172,         0.492,         0.185,       112.779,         0.000,         0.007,         1.788,        93.264,        38.027,         0.941,        73.278,         1.033,         2.914,        0.0000,       -0.0000,    0,        44.125,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    38,     P-679,   2022/11/16 22:26:58,           1-02,      13,       -30.337,       -56.791,      -456.236,         0.064,         20147,       0,    1,                                      SP,                                    STD1,                 H2O, 1668637894.73,         0.239,         0.158,         0.492,         0.185,       111.191,         0.001,         0.007,         1.761,        93.247,        38.184,         0.932,        72.679,         1.030,         2.827,       -0.0000,        0.0000,    0,        44.125,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    39,     P-679,   2022/11/16 22:35:55,           1-02,      14,       -30.343,       -56.777,      -456.190,         0.050,         20154,       0,    1,                                      SP,                                    STD1,                 H2O, 1668638431.15,         0.215,         0.164,         0.462,         0.155,       112.576,         0.000,         0.006,         1.779,        93.357,        38.115,         0.929,        72.522,         1.033,         2.780,        0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    40,     P-679,   2022/11/16 22:44:52,           1-02,      15,       -30.349,       -56.798,      -456.298,         0.056,         20158,       0,    1,                                      SP,                                    STD1,                 H2O, 1668638968.73,         0.240,         0.176,         0.498,         0.179,       110.701,         0.000,         0.007,         1.767,        93.298,        38.315,         0.929,        72.473,         1.031,         2.794,       -0.0000,       -0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    41,     P-679,   2022/11/16 22:53:50,           1-02,      16,       -30.361,       -56.780,      -456.293,         0.033,         20359,       0,    1,                                      SP,                                    STD1,                 H2O, 1668639506.11,         0.224,         0.167,         0.411,         0.166,       110.110,         0.001,         0.006,         1.743,        94.384,        38.526,         0.938,        73.268,         1.032,         2.827,       -0.0000,        0.0000,    0,        44.125,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    42,     P-679,   2022/11/16 23:02:46,           1-02,      17,       -30.326,       -56.774,      -456.442,         0.066,         20218,       0,    1,                                      SP,                                    STD1,                 H2O, 1668640042.50,         0.247,         0.169,         0.496,         0.174,       113.085,         0.000,         0.007,         1.800,        93.706,        38.308,         0.929,        72.455,         1.032,         2.714,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    43,     P-679,   2022/11/16 23:11:44,           1-02,      18,       -30.342,       -56.805,      -456.400,         0.067,         20185,       0,    1,                                      SP,                                    STD1,                 H2O, 1668640579.91,         0.233,         0.167,         0.460,         0.182,       114.301,         0.000,         0.006,         1.805,        93.422,        38.361,         0.928,        72.588,         1.033,         2.805,       -0.0000,       -0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    44,     P-679,   2022/11/16 23:20:42,           1-02,      19,       -30.332,       -56.809,      -456.506,         0.079,         20353,       0,    1,                                      SP,                                    STD1,                 H2O, 1668641117.85,         0.253,         0.175,         0.440,         0.186,       115.440,         0.000,         0.006,         1.810,        94.319,        38.724,         0.933,        72.856,         1.033,         2.758,        0.0000,       -0.0000,    0,        44.250,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    45,     P-679,   2022/11/16 23:29:39,           1-02,      20,       -30.377,       -56.800,      -456.414,         0.028,         20324,       0,    1,                                      SP,                                    STD1,                 H2O, 1668641655.14,         0.237,         0.169,         0.465,         0.179,       116.295,         0.000,         0.006,         1.834,        94.127,        38.397,         0.949,        73.721,         1.032,         2.936,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    46,     P-679,   2022/11/16 23:38:37,           1-02,      21,       -30.373,       -56.834,      -456.591,         0.051,         20209,       0,    1,                                      SP,                                    STD1,                 H2O, 1668642192.63,         0.224,         0.160,         0.422,         0.167,       111.917,         0.000,         0.006,         1.773,        93.640,        38.567,         0.918,        71.615,         1.033,         2.651,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    47,     P-679,   2022/11/16 23:47:33,           1-02,      22,       -30.322,       -56.811,      -456.676,         0.091,         20055,       0,    1,                                      SP,                                    STD1,                 H2O, 1668642729.40,         0.231,         0.163,         0.434,         0.168,       113.199,         0.000,         0.006,         1.792,        92.847,        38.098,         0.916,        71.682,         1.032,         2.718,       -0.0000,       -0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    48,     P-679,   2022/11/16 23:56:31,           1-02,      23,       -30.351,       -56.810,      -456.552,         0.061,         20432,       0,    1,                                      SP,                                    STD1,                 H2O, 1668643267.50,         0.231,         0.173,         0.436,         0.167,       116.809,         0.000,         0.006,         1.828,        94.692,        39.008,         0.933,        72.854,         1.034,         2.745,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    49,     P-679,   2022/11/17 00:05:28,           1-02,      24,       -30.348,       -56.774,      -456.568,         0.043,         20355,       0,    1,                                      SP,                                    STD1,                 H2O, 1668643804.65,         0.238,         0.172,         0.444,         0.176,       115.404,         0.000,         0.006,         1.826,        94.368,        38.517,         0.940,        73.171,         1.034,         2.765,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    50,     P-679,   2022/11/17 00:14:26,           1-02,      25,       -30.337,       -56.790,      -456.547,         0.063,         20316,       0,    1,                                      SP,                                    STD1,                 H2O, 1668644342.66,         0.232,         0.168,         0.477,         0.171,       112.082,         0.000,         0.007,         1.789,        94.130,        38.586,         0.929,        72.862,         1.034,         2.791,       -0.0000,        0.0000,    0,        44.188,         1,       2,       1,Baptiste_20000ppm_O17,       0,       1
    51,     P-680,   2022/11/17 00:23:23,           1-03,       1,              ,              ,              ,              ,              ,        ,     ,                                     BER,                                    STD2,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    52,     P-680,   2022/11/17 00:33:24,           1-03,       2,        -0.836,        -2.249,       -33.198,         0.353,         20034,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668645479.89,         0.263,         0.216,         1.051,         0.180,       113.129,        -0.001,         0.005,         1.792,        92.950,        35.587,         1.137,        85.618,         1.038,         2.095,       -0.0000,       -0.0000,    0,        44.125,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    53,     P-680,   2022/11/17 00:42:21,           1-03,       3,        -0.335,        -1.284,       -13.089,         0.343,         20270,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668646017.54,         0.244,         0.213,         1.368,         0.186,       107.761,        -0.002,        -0.022,         1.696,        94.268,        35.762,         1.160,        87.051,         1.037,         1.971,        0.0000,        0.0000,    0,        44.125,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    54,     P-680,   2022/11/17 00:51:19,           1-03,       4,        -0.190,        -1.087,        -8.622,         0.384,         20302,       0,    1,                                     BER,                                    STD2,                 H2O, 1668646555.02,         0.246,         0.194,         1.161,         0.180,       113.538,        -0.002,        -0.019,         1.777,        94.480,        35.762,         1.165,        87.253,         1.037,         1.949,       -0.0000,       -0.0000,    0,        44.062,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    55,     P-680,   2022/11/17 01:00:16,           1-03,       5,        -0.173,        -1.015,        -6.463,         0.364,         20291,       0,    1,                                     BER,                                    STD2,                 H2O, 1668647092.43,         0.243,         0.188,         1.058,         0.178,       112.356,        -0.001,        -0.017,         1.762,        94.336,        35.825,         1.165,        87.422,         1.036,         2.042,       -0.0000,       -0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    56,     P-680,   2022/11/17 01:09:13,           1-03,       6,        -0.158,        -0.978,        -5.164,         0.359,         20282,       0,    1,                                     BER,                                    STD2,                 H2O, 1668647629.21,         0.237,         0.193,         0.875,         0.165,       113.673,        -0.001,        -0.014,         1.805,        94.210,        35.823,         1.168,        87.666,         1.037,         2.092,       -0.0000,       -0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    57,     P-680,   2022/11/17 01:18:11,           1-03,       7,        -0.102,        -0.914,        -4.346,         0.381,         20307,       0,    1,                                     BER,                                    STD2,                 H2O, 1668648166.95,         0.236,         0.199,         0.823,         0.158,       114.868,        -0.001,        -0.013,         1.810,        94.589,        35.770,         1.158,        86.798,         1.035,         1.793,       -0.0000,        0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    58,     P-680,   2022/11/17 01:27:08,           1-03,       8,        -0.144,        -0.919,        -3.699,         0.341,         20285,       0,    1,                                     BER,                                    STD2,                 H2O, 1668648704.88,         0.255,         0.188,         0.687,         0.182,       111.252,        -0.001,        -0.010,         1.763,        94.311,        35.663,         1.171,        87.795,         1.036,         2.056,        0.0000,        0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    59,     P-680,   2022/11/17 01:36:05,           1-03,       9,        -0.078,        -0.868,        -3.314,         0.381,         20321,       0,    1,                                     BER,                                    STD2,                 H2O, 1668649241.75,         0.233,         0.181,         0.645,         0.173,       112.520,        -0.001,        -0.010,         1.785,        94.568,        35.788,         1.166,        87.555,         1.037,         1.965,       -0.0000,       -0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    60,     P-680,   2022/11/17 01:45:03,           1-03,      10,        -0.090,        -0.862,        -2.747,         0.366,         20322,       0,    1,                                     BER,                                    STD2,                 H2O, 1668649779.01,         0.244,         0.195,         0.690,         0.168,       113.966,        -0.001,        -0.010,         1.782,        94.486,        35.769,         1.175,        87.968,         1.037,         2.096,       -0.0000,        0.0000,    0,        44.000,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    61,     P-680,   2022/11/17 01:54:00,           1-03,      11,        -0.094,        -0.864,        -2.564,         0.363,         20296,       0,    1,                                     BER,                                    STD2,                 H2O, 1668650315.86,         0.255,         0.197,         0.593,         0.176,       114.271,        -0.001,        -0.008,         1.797,        94.327,        35.730,         1.174,        88.079,         1.036,         2.084,        0.0000,       -0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    62,     P-680,   2022/11/17 02:02:57,           1-03,      12,        -0.093,        -0.840,        -2.253,         0.351,         20336,       0,    1,                                     BER,                                    STD2,                 H2O, 1668650852.50,         0.279,         0.202,         0.582,         0.196,       115.892,        -0.001,        -0.008,         1.810,        94.552,        35.833,         1.178,        88.059,         1.037,         2.071,       -0.0000,       -0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    63,     P-680,   2022/11/17 02:11:54,           1-03,      13,        -0.059,        -0.811,        -2.035,         0.369,         20322,       0,    1,                                     BER,                                    STD2,                 H2O, 1668651390.10,         0.243,         0.180,         0.568,         0.182,       113.242,        -0.001,        -0.008,         1.792,        94.542,        35.919,         1.161,        87.213,         1.036,         1.939,        0.0000,       -0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
